test_date_key,month,day_of_week,week_in_year,weekend,holiday,season,day,number_of_month,year,date
1,September,Tuesday,36,FALSE,FALSE,Summer,1,9,2020,2020-09-01
2,September,Wednesday,36,FALSE,FALSE,Summer,2,9,2020,2020-09-02
3,September,Thursday,36,FALSE,FALSE,Summer,3,9,2020,2020-09-03
4,September,Friday,36,FALSE,FALSE,Summer,4,9,2020,2020-09-04
5,September,Saturday,36,TRUE,FALSE,Summer,5,9,2020,2020-09-05
6,September,Sunday,36,TRUE,FALSE,Summer,6,9,2020,2020-09-06
7,September,Monday,37,FALSE,TRUE,Summer,7,9,2020,2020-09-07
8,September,Tuesday,37,FALSE,FALSE,Summer,8,9,2020,2020-09-08
9,September,Wednesday,37,FALSE,FALSE,Summer,9,9,2020,2020-09-09
10,September,Thursday,37,FALSE,FALSE,Summer,10,9,2020,2020-09-10
11,September,Friday,37,FALSE,FALSE,Summer,11,9,2020,2020-09-11
12,September,Saturday,37,TRUE,FALSE,Summer,12,9,2020,2020-09-12
13,September,Sunday,37,TRUE,FALSE,Summer,13,9,2020,2020-09-13
14,September,Monday,38,FALSE,FALSE,Summer,14,9,2020,2020-09-14
15,September,Tuesday,38,FALSE,FALSE,Summer,15,9,2020,2020-09-15
16,September,Wednesday,38,FALSE,FALSE,Summer,16,9,2020,2020-09-16
17,September,Thursday,38,FALSE,FALSE,Summer,17,9,2020,2020-09-17
18,September,Friday,38,FALSE,FALSE,Summer,18,9,2020,2020-09-18
19,September,Saturday,38,TRUE,FALSE,Summer,19,9,2020,2020-09-19
20,September,Sunday,38,TRUE,FALSE,Summer,20,9,2020,2020-09-20
21,September,Monday,39,FALSE,FALSE,Summer,21,9,2020,2020-09-21
22,September,Tuesday,39,FALSE,FALSE,Fall,22,9,2020,2020-09-22
23,September,Wednesday,39,FALSE,FALSE,Fall,23,9,2020,2020-09-23
24,September,Thursday,39,FALSE,FALSE,Fall,24,9,2020,2020-09-24
25,September,Friday,39,FALSE,FALSE,Fall,25,9,2020,2020-09-25
26,September,Saturday,39,TRUE,FALSE,Fall,26,9,2020,2020-09-26
27,September,Sunday,39,TRUE,FALSE,Fall,27,9,2020,2020-09-27
28,September,Monday,40,FALSE,FALSE,Fall,28,9,2020,2020-09-28
29,September,Tuesday,40,FALSE,FALSE,Fall,29,9,2020,2020-09-29
30,September,Wednesday,40,FALSE,FALSE,Fall,30,9,2020,2020-09-30
31,October,Thursday,40,FALSE,FALSE,Fall,1,10,2020,2020-10-01
32,October,Friday,40,FALSE,FALSE,Fall,2,10,2020,2020-10-02
33,October,Saturday,40,TRUE,FALSE,Fall,3,10,2020,2020-10-03
34,October,Sunday,40,TRUE,FALSE,Fall,4,10,2020,2020-10-04
35,October,Monday,41,FALSE,FALSE,Fall,5,10,2020,2020-10-05
36,October,Tuesday,41,FALSE,FALSE,Fall,6,10,2020,2020-10-06
37,October,Wednesday,41,FALSE,FALSE,Fall,7,10,2020,2020-10-07
38,October,Thursday,41,FALSE,FALSE,Fall,8,10,2020,2020-10-08
39,October,Friday,41,FALSE,FALSE,Fall,9,10,2020,2020-10-09
40,October,Saturday,41,TRUE,FALSE,Fall,10,10,2020,2020-10-10
41,October,Sunday,41,TRUE,FALSE,Fall,11,10,2020,2020-10-11
42,October,Monday,42,FALSE,TRUE,Fall,12,10,2020,2020-10-12
43,October,Tuesday,42,FALSE,FALSE,Fall,13,10,2020,2020-10-13
44,October,Wednesday,42,FALSE,FALSE,Fall,14,10,2020,2020-10-14
45,October,Thursday,42,FALSE,FALSE,Fall,15,10,2020,2020-10-15
46,October,Friday,42,FALSE,FALSE,Fall,16,10,2020,2020-10-16
47,October,Saturday,42,TRUE,FALSE,Fall,17,10,2020,2020-10-17
48,October,Sunday,42,TRUE,FALSE,Fall,18,10,2020,2020-10-18
49,October,Monday,43,FALSE,FALSE,Fall,19,10,2020,2020-10-19
50,October,Tuesday,43,FALSE,FALSE,Fall,20,10,2020,2020-10-20
51,October,Wednesday,43,FALSE,FALSE,Fall,21,10,2020,2020-10-21
52,October,Thursday,43,FALSE,FALSE,Fall,22,10,2020,2020-10-22
53,October,Friday,43,FALSE,FALSE,Fall,23,10,2020,2020-10-23
54,October,Saturday,43,TRUE,FALSE,Fall,24,10,2020,2020-10-24
55,October,Sunday,43,TRUE,FALSE,Fall,25,10,2020,2020-10-25
56,October,Monday,44,FALSE,FALSE,Fall,26,10,2020,2020-10-26
57,October,Tuesday,44,FALSE,FALSE,Fall,27,10,2020,2020-10-27
58,October,Wednesday,44,FALSE,FALSE,Fall,28,10,2020,2020-10-28
59,October,Thursday,44,FALSE,FALSE,Fall,29,10,2020,2020-10-29
60,October,Friday,44,FALSE,FALSE,Fall,30,10,2020,2020-10-30
61,October,Saturday,44,FALSE,TRUE,Fall,31,10,2020,2020-10-31
62,November,Sunday,44,FALSE,FALSE,Fall,1,11,2020,2020-11-01
63,November,Monday,45,FALSE,FALSE,Fall,2,11,2020,2020-11-02
64,November,Tuesday,45,FALSE,FALSE,Fall,3,11,2020,2020-11-03
65,November,Wednesday,45,FALSE,FALSE,Fall,4,11,2020,2020-11-04
66,November,Thursday,45,FALSE,FALSE,Fall,5,11,2020,2020-11-05
67,November,Friday,45,FALSE,FALSE,Fall,6,11,2020,2020-11-06
68,November,Saturday,45,TRUE,FALSE,Fall,7,11,2020,2020-11-07
69,November,Sunday,45,TRUE,FALSE,Fall,8,11,2020,2020-11-08
70,November,Monday,46,FALSE,FALSE,Fall,9,11,2020,2020-11-09
71,November,Tuesday,46,FALSE,FALSE,Fall,10,11,2020,2020-11-10
72,November,Wednesday,46,FALSE,TRUE,Fall,11,11,2020,2020-11-11
73,November,Thursday,46,FALSE,FALSE,Fall,12,11,2020,2020-11-12
74,November,Friday,46,FALSE,FALSE,Fall,13,11,2020,2020-11-13
75,November,Saturday,46,TRUE,FALSE,Fall,14,11,2020,2020-11-14
76,November,Sunday,46,TRUE,FALSE,Fall,15,11,2020,2020-11-15
77,November,Monday,47,FALSE,FALSE,Fall,16,11,2020,2020-11-16
78,November,Tuesday,47,FALSE,FALSE,Fall,17,11,2020,2020-11-17
79,November,Wednesday,47,FALSE,FALSE,Fall,18,11,2020,2020-11-18
80,November,Thursday,47,FALSE,FALSE,Fall,19,11,2020,2020-11-19
81,November,Friday,47,FALSE,FALSE,Fall,20,11,2020,2020-11-20
82,November,Saturday,47,TRUE,FALSE,Fall,21,11,2020,2020-11-21
83,November,Sunday,47,TRUE,FALSE,Fall,22,11,2020,2020-11-22
84,November,Monday,48,FALSE,FALSE,Fall,23,11,2020,2020-11-23
85,November,Tuesday,48,FALSE,FALSE,Fall,24,11,2020,2020-11-24
86,November,Wednesday,48,FALSE,FALSE,Fall,25,11,2020,2020-11-25
87,November,Thursday,48,FALSE,FALSE,Fall,26,11,2020,2020-11-26
88,November,Friday,48,FALSE,FALSE,Fall,27,11,2020,2020-11-27
89,November,Saturday,48,TRUE,FALSE,Fall,28,11,2020,2020-11-28
90,November,Sunday,48,TRUE,FALSE,Fall,29,11,2020,2020-11-29
91,November,Monday,49,FALSE,FALSE,Fall,30,11,2020,2020-11-30
92,December,Tuesday,49,FALSE,FALSE,Fall,1,12,2020,2020-12-01
93,December,Wednesday,49,FALSE,FALSE,Fall,2,12,2020,2020-12-02
94,December,Thursday,49,FALSE,FALSE,Fall,3,12,2020,2020-12-03
95,December,Friday,49,FALSE,FALSE,Fall,4,12,2020,2020-12-04
96,December,Saturday,49,TRUE,FALSE,Fall,5,12,2020,2020-12-05
97,December,Sunday,49,TRUE,FALSE,Fall,6,12,2020,2020-12-06
98,December,Monday,50,FALSE,FALSE,Fall,7,12,2020,2020-12-07
99,December,Tuesday,50,FALSE,FALSE,Fall,8,12,2020,2020-12-08
100,December,Wednesday,50,FALSE,FALSE,Fall,9,12,2020,2020-12-09
101,December,Thursday,50,FALSE,FALSE,Fall,10,12,2020,2020-12-10
102,December,Friday,50,FALSE,FALSE,Fall,11,12,2020,2020-12-11
103,December,Saturday,50,TRUE,FALSE,Fall,12,12,2020,2020-12-12
104,December,Sunday,50,TRUE,FALSE,Fall,13,12,2020,2020-12-13
105,December,Monday,51,FALSE,FALSE,Fall,14,12,2020,2020-12-14
106,December,Tuesday,51,FALSE,FALSE,Fall,15,12,2020,2020-12-15
107,December,Wednesday,51,FALSE,FALSE,Fall,16,12,2020,2020-12-16
108,December,Thursday,51,FALSE,FALSE,Fall,17,12,2020,2020-12-17
109,December,Friday,51,FALSE,FALSE,Fall,18,12,2020,2020-12-18
110,December,Saturday,51,TRUE,FALSE,Fall,19,12,2020,2020-12-19
111,December,Sunday,51,TRUE,FALSE,Fall,20,12,2020,2020-12-20
112,December,Monday,52,FALSE,FALSE,Winter,21,12,2020,2020-12-21
113,December,Tuesday,52,FALSE,FALSE,Winter,22,12,2020,2020-12-22
114,December,Wednesday,52,FALSE,FALSE,Winter,23,12,2020,2020-12-23
115,December,Thursday,52,FALSE,TRUE,Winter,24,12,2020,2020-12-24
116,December,Friday,52,FALSE,TRUE,Winter,25,12,2020,2020-12-25
117,December,Saturday,52,TRUE,TRUE,Winter,26,12,2020,2020-12-26
118,December,Sunday,52,TRUE,FALSE,Winter,27,12,2020,2020-12-27
119,December,Monday,53,FALSE,FALSE,Winter,28,12,2020,2020-12-28
120,December,Tuesday,53,FALSE,FALSE,Winter,29,12,2020,2020-12-29
121,December,Wednesday,53,FALSE,FALSE,Winter,30,12,2020,2020-12-30
122,December,Thursday,53,FALSE,TRUE,Winter,31,12,2020,2020-12-31